아이템,모드,제작,제작 작업대,구할 수 없는 재료,기타 획득 경로,추정 경로(다른 정의가 언급),공허 추출기 허용,분류,defName
초능력 공명기,CeleTech Arsenal MKIII,제작 가능,CMC 주조 가공대,,궤도 상인 구매,"아이템 사용·개봉: QBB-231R 경기관총, 아이템 사용·개봉: QBB-302S 범용 기관총, 아이템 사용·개봉: QBU-231R 지정사수소총, 아이템 사용·개봉: QBU-252L 광선 저격소총, 아이템 사용·개봉: QBU-371R 대물 저격소총, 아이템 사용·개봉: QBZ-231R 돌격소총, 아이템 사용·개봉: QBZ-251L 광선 소총, 아이템 사용·개봉: QBZ-301S 돌격소총, 아이템 사용·개봉: QJZ-209R 중기관총, 아이템 사용·개봉: QSZ-108R 권총, 아이템 사용·개봉: QSZ-108S 권총, 아이템 사용·",,CMC_WeaponAccessories,CMC_Accessory_EMBooster_Psy
탄도 연산 칩,CeleTech Arsenal MKIII,제작 가능,CMC 주조 가공대,,궤도 상인 구매,"아이템 사용·개봉: QBB-231R 경기관총, 아이템 사용·개봉: QBB-302S 범용 기관총, 아이템 사용·개봉: QBU-231R 지정사수소총, 아이템 사용·개봉: QBU-371R 대물 저격소총, 아이템 사용·개봉: QBZ-301S 돌격소총, 아이템 사용·개봉: QJZ-209R 중기관총, 아이템 사용·개봉: QSZ-57 PDW, 아이템 사용·개봉: QSZ-57 전자기 카빈, 아이템 사용·개봉: QTS-214 OICW, 아이템 사용·개봉: QTS-301 OICW",,CMC_WeaponAccessories,CMC_Accessory_AdvancedScopeB
표준 탄약 보급품,CeleTech Arsenal MKIII,제작 가능,"CMC 주조 가공대, CMC 나노 CNC 작업대",,궤도 상인 구매,,,Manufactured,CMC_Ammo_Standard
표준 폭발물 보급품,CeleTech Arsenal MKIII,제작 가능,"CMC 주조 가공대, CMC 나노 CNC 작업대",,궤도 상인 구매,"아이템 사용·개봉: B-HJ301 대전차 미사일 탄약 배낭, 아이템 사용·개봉: B-PF201 무반동포 탄약 배낭",,Manufactured,CMC_Ammo_Explosive
검은 비늘의 소문,Chromatic Dragonian / 크로마틱 드라고니안,,,,"궤도 상인 구매, 상인 구매",,,Books,CD_Book_BlackScaleRumor
다시 나타난 드라고니안 사냥꾼,Chromatic Dragonian / 크로마틱 드라고니안,,,,"궤도 상인 구매, 상인 구매",,,Books,CD_Book_HuntersReturn
드라고니안 결의의 전쟁망치,Chromatic Dragonian / 크로마틱 드라고니안,,,,"궤도 상인 구매, 적 장비 노획",,,WeaponsMeleeBladelink,Dragonian_ResoluteWarhammer_CD
드라고니안 공명의 엘텍스 스태프,Chromatic Dragonian / 크로마틱 드라고니안,,,,"궤도 상인 구매, 적 장비 노획",,,WeaponsMeleeBladelink,Dragonian_ResonantStaff_CD
드라고니안 도살자,Chromatic Dragonian / 크로마틱 드라고니안,,,,적 장비 노획,,,DRWeapons,Dragonian_BetrayerSlayer_CD
드라고니안 무지개 수호보주,Chromatic Dragonian / 크로마틱 드라고니안,재료 확보 불가,"전기 재봉 작업대, 재봉 작업대",무지갯빛 드라고니안 털,,AlienRace.ThingDef_AlienRace: Dragonian_Race,,DRApparel,Dragonian_RainbowProtectionOrb_CD
드라고니안 세월의 보주,Chromatic Dragonian / 크로마틱 드라고니안,,,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,Dragonian_AgeOrb_CD
드라고니안 야인 이야기,Chromatic Dragonian / 크로마틱 드라고니안,,,,"궤도 상인 구매, 상인 구매",,,Books,CD_Book_WildDragonianStory
드라고니안 작열의 할버드,Chromatic Dragonian / 크로마틱 드라고니안,,,,"궤도 상인 구매, 적 장비 노획",,,WeaponsMeleeBladelink,Dragonian_Embercleaver_CD
드라고니안 장검,Chromatic Dragonian / 크로마틱 드라고니안,제작 가능,"전기 단조 작업대, 단조 작업대",,"궤도 상인 구매, 상인 구매",,,DRWeapons,Dragonian_Longsword_CD
드라고니안 전쟁망치,Chromatic Dragonian / 크로마틱 드라고니안,제작 가능,"전기 단조 작업대, 단조 작업대",,궤도 상인 구매,,,DRWeapons,Dragonian_Warhammer_CD
드라고니안 정조준 투창기,Chromatic Dragonian / 크로마틱 드라고니안,,,,궤도 상인 구매,,,DRWeapons,Dragonian_SteadyJavelinThrower_CD
드라고니안 타락한 보주,Chromatic Dragonian / 크로마틱 드라고니안,재료 확보 불가,조립 작업대,드라고니안 타락한 수호보주,,,,ItemsMisc,Dragonian_CorruptedOrb_CD
드라고니안 타락한 수호보주,Chromatic Dragonian / 크로마틱 드라고니안,,,,,,,DRApparel,Dragonian_CorruptedGuardianOrb_CD
드라고니안 할버드,Chromatic Dragonian / 크로마틱 드라고니안,제작 가능,"전기 단조 작업대, 단조 작업대",,궤도 상인 구매,,,DRWeapons,Dragonian_Halberd_CD
드라고니안 황금 엘텍스 드레스,Chromatic Dragonian / 크로마틱 드라고니안,제작 가능,"전기 재봉 작업대, 재봉 작업대",,,AlienRace.ThingDef_AlienRace: Dragonian_Race,,DRApparel,Dragonian_GoldenEltexDress_CD
드라고니안 황금 엘텍스 헬름,Chromatic Dragonian / 크로마틱 드라고니안,제작 가능,"전기 재봉 작업대, 재봉 작업대",,,AlienRace.ThingDef_AlienRace: Dragonian_Race,,DRHeadgear,Dragonian_GoldenEltexHelm_CD
드라고니안 황금 장검,Chromatic Dragonian / 크로마틱 드라고니안,,,,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,WeaponsMeleeBladelink,Dragonian_GoldenSword_CD
드라고니안 황금 전투 드레스,Chromatic Dragonian / 크로마틱 드라고니안,제작 가능,"전기 재봉 작업대, 재봉 작업대",,,AlienRace.ThingDef_AlienRace: Dragonian_Race,,DRApparel,Dragonian_GoldenBattleDress_CD
드라고니안 황금 전투 엘텍스 드레스,Chromatic Dragonian / 크로마틱 드라고니안,제작 가능,"전기 재봉 작업대, 재봉 작업대",,적 장비 노획,AlienRace.ThingDef_AlienRace: Dragonian_Race,,DRApparel,Dragonian_GoldenBattleEltexDressMale_CD
드라고니안 황금 전투 헬름,Chromatic Dragonian / 크로마틱 드라고니안,제작 가능,"전기 재봉 작업대, 재봉 작업대",,적 장비 노획,AlienRace.ThingDef_AlienRace: Dragonian_Race,,DRHeadgear,Dragonian_GoldenBattleHelm_CD
드라고니안의 여러 빛깔,Chromatic Dragonian / 크로마틱 드라고니안,,,,"궤도 상인 구매, 상인 구매",,,Books,CD_Book_ManyColors
무지갯빛 드라고니안 털,Chromatic Dragonian / 크로마틱 드라고니안,,,,,,,Wools,WoolDragonianRainbow_CD
생체공학 드라고니안 꼬리,Chromatic Dragonian / 크로마틱 드라고니안,제작 가능,조립 작업대,,"궤도 상인 구매, 상인 구매",,,BodyPartsBionic,Dragonian_BionicTail_CD
성운액,Complementary Odyssey,제작 가능,약물 연구대,,"궤도 상인 구매, 상인 구매",,,Drugs,CO_Vacsop
성운정,Complementary Odyssey,,,,"궤도 상인 구매, 재배·채집",식물: 성운초,,Manufactured,CO_Vacdew
밀리라 베레모,Dellin's Milira Attire Expaned,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대",,,"AlienRace.ThingDef_AlienRace: Milira_Race, 능력·유전자: DL_Hediff_ForceWearAfterDelay_Dellin",,Milira_Apparel_Overhead,DL_Milira_DellinBeret
밀리라 식용 색소,Dellin's Milira Attire Expaned,제작 가능,"전기 스토브, 스토브, 태양 조리대",,"궤도 상인 구매, 상인 구매",,,FoodMeals,Dellin_EdiblePigment
밀리라 식용 안료,Dellin's Milira Attire Expaned,,,,"궤도 상인 구매, 상인 구매",,,FoodMeals,Dellin_Milira_EdiblePigment
밀리라 우비,Dellin's Milira Attire Expaned,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대",,,"AlienRace.ThingDef_AlienRace: Milira_Race, 능력·유전자: DL_Hediff_ForceWearAfterDelay_Dellin",,Milira_Apparel_OnSkin,DL_Milira_DellinAttire
밀리언 고양이 귀 머리띠,Dellin's Milira Attire Expaned,제작 가능,밀리라 범용 작업대,,,,,Milian_Apparel_Overhead,Dellin_Milian_MaidHatII
밀리언 레인저 갑옷 츠바이,Dellin's Milira Attire Expaned,제작 가능,밀리라 범용 작업대,,,,,Milian_Apparel_Middle,Dellin_Milian_RangerArmor_Maid
밀리언 메이드 머리띠,Dellin's Milira Attire Expaned,제작 가능,밀리라 범용 작업대,,,,,Milian_Apparel_Overhead,Dellin_Milian_MaidHat
밀리언 메이드복,Dellin's Milira Attire Expaned,제작 가능,밀리라 범용 작업대,,,,,Milian_Apparel_Middle,Dellin_Milian_MaidAttire
밀리언 수호자 갑옷 츠바이,Dellin's Milira Attire Expaned,제작 가능,밀리라 범용 작업대,,,,,Milian_Apparel_Middle,Dellin_Milian_GuardianArmor_Maid
밀리언 잠옷,Dellin's Milira Attire Expaned,,,,,,,Milian_Apparel_Middle,Dellin_Milian_Nailong
밀리언 잠옷 모자,Dellin's Milira Attire Expaned,,,,,,,Milian_Apparel_Overhead,Dellin_Milian_NailongHat
밀리언 추적자 갑옷 츠바이,Dellin's Milira Attire Expaned,제작 가능,밀리라 범용 작업대,,,,,Milian_Apparel_Middle,Dellin_Milian_StalkerArmor_Maid
밀리언 팔라딘 갑옷 츠바이,Dellin's Milira Attire Expaned,제작 가능,밀리라 범용 작업대,,,,,Milian_Apparel_Middle,Dellin_Milian_PaladinArmor_Maid
가짜 꼬리,Dragonian Mix,제작 가능,"전기 재봉 작업대, 재봉 작업대",,"궤도 상인 구매, 상인 구매",,,BodyPartsProsthetic,DR_FakeTail
경화 드라고니안 오브,Dragonian Mix,,,,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,"BodyPartsNatural, DROrbs",HardenDragonianOrb
냉동 베기 꼬리,Dragonian Mix,,,,"궤도 상인 구매, 상인 구매",,,BodyPartsNatural,DRM_CryoSlashTail
독성 드라고니안 오브,Dragonian Mix,,,,"궤도 상인 구매, 상인 구매",,,"BodyPartsNatural, DROrbs",ToxicDragonianOrb
드라고니안 강선 부싯돌총,Dragonian Mix,제작 가능,기계 작업대,,"궤도 상인 구매, 적 장비 노획",,,WeaponsRanged,DRM_RifledFlintlock
드라고니안 공기포 지팡이,Dragonian Mix,제작 가능,"전기 단조 작업대, 단조 작업대",,"궤도 상인 구매, 상인 구매",,,"WeaponsMelee, WeaponsRanged",DR_BattleStaff_Air
드라고니안 공포 지팡이,Dragonian Mix,제작 가능,"전기 단조 작업대, 단조 작업대",,"궤도 상인 구매, 상인 구매",,,"WeaponsMelee, WeaponsRanged",DR_BattleStaff_Fear
드라고니안 리볼버,Dragonian Mix,제작 가능,기계 작업대,,"궤도 상인 구매, 적 장비 노획",,,WeaponsRanged,DRM_Revolver
드라고니안 보호막 고급 증폭기,Dragonian Mix,제작 가능,조립 작업대,,"궤도 상인 구매, 상인 구매",,,BodyPartsBionic,ShieldDragonianOrb_AdvancedBooster
드라고니안 보호막 완충 모듈,Dragonian Mix,제작 가능,조립 작업대,,"궤도 상인 구매, 상인 구매",,,BodyPartsBionic,ShieldDragonianOrb_BufferModule
드라고니안 보호막 적응 모듈,Dragonian Mix,제작 가능,조립 작업대,,"궤도 상인 구매, 상인 구매",,,BodyPartsBionic,ShieldDragonianOrb_AdaptiveModule
드라고니안 보호막 증폭기,Dragonian Mix,제작 가능,조립 작업대,,"궤도 상인 구매, 상인 구매",,,BodyPartsBionic,ShieldDragonianOrb_Booster
드라고니안 빔 지팡이,Dragonian Mix,제작 가능,"전기 단조 작업대, 단조 작업대",,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,"WeaponsMelee, WeaponsRanged",DR_BattleStaff_Beam
드라고니안 사슬 창,Dragonian Mix,제작 가능,"전기 단조 작업대, 단조 작업대",,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,WeaponsMelee,DR_ChainSpear
드라고니안 산성 집속 창,Dragonian Mix,제작 가능,"전기 단조 작업대, 단조 작업대",,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,WeaponsMelee,DR_ClusterSpear_Acid
드라고니안 산성 투창기,Dragonian Mix,제작 가능,"전기 단조 작업대, 단조 작업대",,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,"WeaponsMelee, WeaponsRanged",DR_GreatBow_Acid
드라고니안 섬광 지팡이,Dragonian Mix,제작 가능,"전기 단조 작업대, 단조 작업대",,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,"WeaponsMelee, WeaponsRanged",DR_BattleStaff_Flare
드라고니안 아크 지팡이,Dragonian Mix,제작 가능,"전기 단조 작업대, 단조 작업대",,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,"WeaponsMelee, WeaponsRanged",DR_BattleStaff_Arc
드라고니안 전투 드레스 C,Dragonian Mix,제작 가능,"전기 재봉 작업대, 재봉 작업대",,"궤도 상인 구매, 상인 구매, 적 장비 노획",AlienRace.ThingDef_AlienRace: Dragonian_Race,,ApparelArmor,DRM_BattleDressC
드라고니안 전투 창,Dragonian Mix,제작 가능,"전기 단조 작업대, 단조 작업대",,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,WeaponsMelee,DR_BattleSpear
드라고니안 전투 투구 C,Dragonian Mix,제작 가능,"전기 재봉 작업대, 재봉 작업대",,"궤도 상인 구매, 상인 구매, 적 장비 노획",AlienRace.ThingDef_AlienRace: Dragonian_Race,,ArmorHeadgear,DRM_BattleHelmC
드라고니안 전투 투구 D,Dragonian Mix,제작 가능,"전기 재봉 작업대, 재봉 작업대",,"궤도 상인 구매, 상인 구매, 적 장비 노획",AlienRace.ThingDef_AlienRace: Dragonian_Race,,ArmorHeadgear,DRM_BattleHelmD
드라고니안 집속 창,Dragonian Mix,제작 가능,"전기 단조 작업대, 단조 작업대",,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,WeaponsMelee,DR_ClusterSpear
드라고니안 폭발 사슬 창,Dragonian Mix,제작 가능,"전기 단조 작업대, 단조 작업대",,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,WeaponsMelee,DR_ChainSpear_Ex
드라고니안 폭발 철퇴,Dragonian Mix,제작 가능,"전기 단조 작업대, 단조 작업대",,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,WeaponsMelee,DR_BattleMace_explosive
베기 꼬리,Dragonian Mix,,,,"궤도 상인 구매, 상인 구매",,,BodyPartsNatural,DRM_SlashTail
보호막 드라고니안 오브,Dragonian Mix,,,,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,"BodyPartsNatural, DROrbs",ShieldDragonianOrb
빙결 드라고니안 오브,Dragonian Mix,,,,"궤도 상인 구매, 상인 구매","QuestEditor_Library.CustomMapDataDef: DRM_DragonianUn_Fortress_BaseDef, QuestEditor_Library.CustomMapDataDef: DRM_Dragonian_Fortress_BaseDef",,"BodyPartsNatural, DROrbs",FrozenDragonianOrb
사령 드라고니안 오브,Dragonian Mix,,,,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,"BodyPartsNatural, DROrbs",NecroDragonianOrb
산성 베기 꼬리,Dragonian Mix,,,,"궤도 상인 구매, 상인 구매",,,BodyPartsNatural,DRM_AcidSlashTail
산성화 드라고니안 오브,Dragonian Mix,,,,"궤도 상인 구매, 상인 구매","QuestEditor_Library.CustomMapDataDef: DRM_DragonianUn_Fortress_BaseDef, QuestEditor_Library.CustomMapDataDef: DRM_Dragonian_Fortress_BaseDef",,"BodyPartsNatural, DROrbs",AcidifierDragonianOrb
생체공학 꼬리,Dragonian Mix,제작 가능,조립 작업대,,"궤도 상인 구매, 상인 구매",,,BodyPartsBionic,DR_BionicTail
섬광 드라고니안 오브,Dragonian Mix,,,,"궤도 상인 구매, 상인 구매","QuestEditor_Library.CustomMapDataDef: DRM_DragonianUn_Fortress_BaseDef, QuestEditor_Library.CustomMapDataDef: DRM_Dragonian_Fortress_BaseDef",,"BodyPartsNatural, DROrbs",FlareDragonianOrb
엔더 드라고니안 오브,Dragonian Mix,,,,"궤도 상인 구매, 상인 구매",,,"BodyPartsNatural, DROrbs",EnderDragonianOrb
전투 망치,Dragonian Mix,제작 가능,"전기 단조 작업대, 단조 작업대",,"궤도 상인 구매, 상인 구매, 적 장비 노획","아이템 사용·개봉: 페르소나 전투 망치, 아이템 사용·개봉: 페르소나 폭발 전투 망치",,WeaponsMelee,DR_BattleHammer
천둥 드라고니안 오브,Dragonian Mix,,,,"궤도 상인 구매, 상인 구매","QuestEditor_Library.CustomMapDataDef: DRM_DragonianUn_Fortress_BaseDef, QuestEditor_Library.CustomMapDataDef: DRM_Dragonian_Fortress_BaseDef",,"BodyPartsNatural, DROrbs",ThunderDragonianOrb
초회복 드라고니안 오브,Dragonian Mix,,,,"궤도 상인 구매, 상인 구매",,,"BodyPartsNatural, DROrbs",HyperhealDragonianOrb
페르소나 전투 망치,Dragonian Mix,제작 가능,"전기 단조 작업대, 단조 작업대",,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,WeaponsMeleeBladelink,DR_BattleHammerBladelink
페르소나 폭발 전투 망치,Dragonian Mix,제작 가능,"전기 단조 작업대, 단조 작업대",,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,WeaponsMeleeBladelink,DR_BattleHammerBladelink_Ex
폭발 베기 꼬리,Dragonian Mix,,,,"궤도 상인 구매, 상인 구매",,,BodyPartsNatural,DRM_ExplosiveSlashTail
화염 베기 꼬리,Dragonian Mix,,,,"궤도 상인 구매, 상인 구매",,,BodyPartsNatural,DRM_FlameSlashTail
드라고니안 바니 슈트,Dragonian Pantyhose Apparles,제작 가능,"전기 재봉 작업대, 재봉 작업대",,,AlienRace.ThingDef_AlienRace: Dragonian_Race,,DRApparel,DR_bunny
드라고니안 전투 바니 슈트,Dragonian Pantyhose Apparles,제작 가능,"전기 재봉 작업대, 재봉 작업대",,,AlienRace.ThingDef_AlienRace: Dragonian_Race,,"ApparelArmor, DRApparel",DR_pwdbunny
드라고니안 전투 토끼 귀,Dragonian Pantyhose Apparles,제작 가능,"전기 재봉 작업대, 재봉 작업대",,,AlienRace.ThingDef_AlienRace: Dragonian_Race,,"ApparelArmor, DRHeadgear",DR_pwdbunnyearW
드라고니안 전투 토끼 귀,Dragonian Pantyhose Apparles,제작 가능,"전기 재봉 작업대, 재봉 작업대",,,AlienRace.ThingDef_AlienRace: Dragonian_Race,,"ApparelArmor, DRHeadgear",DR_pwdbunnyear
드라고니안 전투 화이트 바니 슈트,Dragonian Pantyhose Apparles,제작 가능,"전기 재봉 작업대, 재봉 작업대",,,AlienRace.ThingDef_AlienRace: Dragonian_Race,,"ApparelArmor, DRApparel",DR_pwdwhitebunny
드라고니안 토끼 귀,Dragonian Pantyhose Apparles,제작 가능,"전기 재봉 작업대, 재봉 작업대",,,AlienRace.ThingDef_AlienRace: Dragonian_Race,,"ApparelArmor, DRHeadgear",DR_bunnyear
드라고니안 토끼 귀,Dragonian Pantyhose Apparles,제작 가능,"전기 재봉 작업대, 재봉 작업대",,,AlienRace.ThingDef_AlienRace: Dragonian_Race,,"ApparelArmor, DRHeadgear",DR_bunnyearW
드라고니안 팬티스타킹,Dragonian Pantyhose Apparles,제작 가능,"전기 재봉 작업대, 재봉 작업대",,,AlienRace.ThingDef_AlienRace: Dragonian_Race,,"ApparelArmor, DRApparel",DR_Pantyhose
드라고니안 팬티스타킹 세트,Dragonian Pantyhose Apparles,제작 가능,"전기 재봉 작업대, 재봉 작업대",,,AlienRace.ThingDef_AlienRace: Dragonian_Race,,"ApparelArmor, DRApparel",DR_PantyhoseP
드라고니안 화이트 바니 슈트,Dragonian Pantyhose Apparles,제작 가능,"전기 재봉 작업대, 재봉 작업대",,,AlienRace.ThingDef_AlienRace: Dragonian_Race,,DRApparel,DR_whitebunny
가짜 꼬리 (드라고니안 프리무스),Dragonian Prime Race2.0 (Unofficial),제작 가능,"전기 재봉 작업대, 재봉 작업대",,"궤도 상인 구매, 상인 구매",,,BodyPartsProsthetic,DR_FakeTail_DP2Unofficial
구울 부활 혈청 (드라고니안 프리무스),Dragonian Prime Race2.0 (Unofficial),제작 가능,혈청 연구대,,,,,Drugs,GhoulResurrectionSerum_DP2Unofficial
기본 드레스 (드라고니안 프리무스),Dragonian Prime Race2.0 (Unofficial),제작 가능,"전기 재봉 작업대, 재봉 작업대",,"궤도 상인 구매, 상인 구매",AlienRace.ThingDef_AlienRace: Dragonian_Prime_DP2Unofficial,,Apparel,DR_BasicDress_DP2Unofficial
기본 옷 (드라고니안 프리무스),Dragonian Prime Race2.0 (Unofficial),제작 가능,"전기 재봉 작업대, 재봉 작업대",,"궤도 상인 구매, 상인 구매",AlienRace.ThingDef_AlienRace: Dragonian_Prime_DP2Unofficial,,Apparel,DR_BasicWear_DP2Unofficial
꽃 리본 (드라고니안 프리무스),Dragonian Prime Race2.0 (Unofficial),제작 가능,"전기 재봉 작업대, 재봉 작업대",,궤도 상인 구매,AlienRace.ThingDef_AlienRace: Dragonian_Prime_DP2Unofficial,,Headgear,DR_FlowerRibon_DP2Unofficial
꽃 장식 (드라고니안 프리무스),Dragonian Prime Race2.0 (Unofficial),제작 가능,"전기 재봉 작업대, 재봉 작업대",,"궤도 상인 구매, 상인 구매",AlienRace.ThingDef_AlienRace: Dragonian_Prime_DP2Unofficial,,Headgear,DR_Hat_DP2Unofficial
독약,Dragonian Prime Race2.0 (Unofficial),제작 가능,약물 연구대,,"궤도 상인 구매, 상인 구매",,,Drugs,PoisonPill_DP2Unofficial
드라고니안 가죽 (드라고니안 프리무스),Dragonian Prime Race2.0 (Unofficial),제작 가능,약물 연구대,,"궤도 상인 구매, 상인 구매",AlienRace.ThingDef_AlienRace: Dragonian_Prime_DP2Unofficial,,Leathers,Leather_Dragonian_DP2Unofficial
드라고니안 레버액션 산탄총,Dragonian Prime Race2.0 (Unofficial),제작 가능,조립 작업대,,"궤도 상인 구매, 상인 구매",,,WeaponsRanged,LeverAction_DP2Unofficial
드라고니안 빔 산탄총,Dragonian Prime Race2.0 (Unofficial),제작 가능,조립 작업대,,"궤도 상인 구매, 상인 구매",,,WeaponsRanged,BeamShotgun_DP2Unofficial
드라고니안 뿔 (드라고니안 프리무스),Dragonian Prime Race2.0 (Unofficial),제작 가능,약물 연구대,,"궤도 상인 구매, 상인 구매",,,BodyPartsNatural,Dragonian_Horn_DP2Unofficial
드라고니안 생체철,Dragonian Prime Race2.0 (Unofficial),제작 가능,전기로,,"궤도 상인 구매, 상인 구매",,,ResourcesRaw,InfusedBioferrite_DP2Unofficial
